"rental_duration","category_name","count"
3,"Animation",18
4,"Animation",12
5,"Animation",9
6,"Animation",13
7,"Animation",14
3,"Children",12
4,"Children",9
5,"Children",15
6,"Children",13
7,"Children",11
3,"Classics",12
4,"Classics",11
5,"Classics",9
6,"Classics",11
7,"Classics",14
3,"Comedy",12
4,"Comedy",14
5,"Comedy",10
6,"Comedy",10
7,"Comedy",12
3,"Family",11
4,"Family",12
5,"Family",14
6,"Family",18
7,"Family",14
3,"Music",7
4,"Music",9
5,"Music",12
6,"Music",11
7,"Music",12
